writer
Kim Krizan
Katie Dippold
Chad Hayes
Carey Hayes
Richard O'Brien
Jim Sharman
Graham Chapman
Eric Idle
Terry Jones
Michael Palin
William Peter Blatty
David Newman
Leslie Newman
Robert Benton
Bill Lancaster
John W. Campbell Jr
Larry McMurtry
James L. Brooks
Willard Huyck
Gloria Katz
Wolfgang Petersen
Herman Weigel
Michael Ende
Robert Easton
Jan Fischer
James Jeremias
Mel Brooks
Thomas Meehan
Ronny Graham
Michael McDowell
Larry Wilson
Warren Skaaren
Sam Hamm
Joe Eszterhas
Aaron Sorkin
Frances Hodgson Burnett
Caroline Thompson
Claude Zidi
Simon Michaël
Didier Kaminka
Ice Cube
DJ Pooh
Rafael Moreu
Robert Kurtzman
Jeff Lieberman
Karin Howard
John Grisham
Len Brown
Woody Gelman
Wally Wood
Bob Powell
Norman Saunders
Jonathan Gems
Elmore Leonard
Edward Neumeier
Robert A. Heinlein
Robert D. San Souci
Philip LaZebnik
Raymond Singer
Eugenia Bostwick-Singer
John Sanford
Tim Hodge
Chris Williams
Julius Aguimatang
Joe Grant
Floyd Norman
Jodi Ann Johnson
Alan Ormsby
Don Dougherty
Denis Rich
Joe Ekers
Theodore Newton
Larry Scholl
Daan Jippes
Frank Nissen
Jeff Snow
Anonymous
Don McEnery
Bob Shaw
Geefwee Boedoe
Jason Katz
Robert Lence
Frederic Raphael
Arthur Schnitzler
William Broyles Jr
H.B. Halicki
Scott Rosenberg
Kevin Smith
Mike Bender
Adam Jay Epstein
Andrew Jacobson
Lawrence Konner
Mark Rosenthal
Drake Sather
John Hamburg
Jay Chandrasekhar
Kevin Heffernan
Steve Lemme
Paul Soter
Erik Stolhanske
Michael J. Wilson
Peter Ackerman
James Bresnahan
Galen T. Chu
Doug Compton
Xeth Feinberg
Jeff Siergey
Mike Thurmeier
Kôji Suzuki
Hiroshi Takahashi
David Dorfman
James Schamus
John Turman
Michael Cooney
Alan B. McElroy
Glenn Ficarra
John Requa
George A. Romero
Jeffrey Nachmanoff
Daniel Handler
A.J. Quinnell
James Wan
J. David Stem
David N. Weiss
Walt Dohrn
David P. Smith
Keenen Ivory Wayans
Andrew McElfresh
Xavier Cook
Jay Anson
Sandor Stern
George Lutz
Kathy Lutz
Jamie Delano
Garth Ennis
Kevin Brodbin
Frank A. Cappello
Mark Neveldine
Brian Taylor
Barry Wernick
Allen Covert
Nick Swardson
Jason Smilovic
Mel Gibson
Farhad Safinia
Rowan Joffe
Juan Carlos Fresnadillo
Enrique López Lavigne
Jesús Olmo
Nick Castle
Paul Castro
Jeff Stockwell
David Paterson
Katherine Paterson
Steve Koren
Mark O'Keefe
Fernley Phillips
Brian Koppelman
David Levien
Hugh Wheeler
Christopher Bond
Chris Hauty
Art Monterastelli
David Morrell
Peter Steinfeld
Ben Mezrich
David Ignatius
Byron Howard
David Scarpa
Edmund H. North
Robert Thom
Charles B. Griffith
Ib Melchior
Buck Henry
Mike Mignola
Michael D. Weiss
Jennifer Flackett
Mark Levin
Pamela Pettler
Shane Acker
Phil Lord
Christopher Miller
Judi Barrett
Ron Barrett
Rob Greenberg
Adam Simon
Tim Metcalfe
Charles McKeown
Adam Alleca
Wes Craven
Jon Ronson
Maya Forbes
Wallace Wolodarsky
Rob Letterman
Nick Cassavetes
Jodi Picoult
Alex Mace
Travis Milloy
Christian Alvart
Geoffrey Fletcher
Sapphire
David Bourla
Michael Petroni
Jackie Filgo
Jeff Filgo
Gabe Sachs
Jeff Judah
